K04085	CAG0001 CAG0002 CAG0005 CAG0006 CAG0007 CAG0009 CAG0013 CAG0014 CAG0015 CAG0016 CAG0021 CAG0025 CAG0028 CAG0030 CAG0038 CAG0039 CAG0053 CAG0055 CAG0063 CAG0064 CAG0068 CAG0093 CAG0107 
K05523	CAG0001 CAG0023 CAG0025 CAG0032 CAG0038 CAG0075 
K01151	CAG0001 CAG0004 CAG0006 CAG0014 CAG0015 CAG0024 CAG0035 CAG0036 CAG0041 CAG0042 CAG0053 CAG0062 CAG0071 CAG0078 CAG0080 CAG0085 CAG0089 CAG0092 CAG0094 
K01537	CAG0001 CAG0004 CAG0006 CAG0008 CAG0010 CAG0026 CAG0041 CAG0042 CAG0049 CAG0056 CAG0057 CAG0083 CAG0086 CAG0097 CAG0107 
K09816	CAG0001 CAG0006 CAG0010 CAG0014 CAG0027 CAG0033 CAG0044 CAG0049 CAG0053 CAG0056 CAG0071 CAG0073 CAG0086 CAG0089 CAG0097 CAG0102 
K10716	CAG0001 CAG0002 CAG0003 CAG0007 CAG0009 CAG0011 CAG0012 CAG0015 CAG0016 CAG0017 CAG0018 CAG0020 CAG0025 CAG0027 CAG0033 CAG0035 CAG0045 CAG0046 CAG0048 CAG0055 CAG0061 CAG0065 CAG0068 CAG0080 
K00864	CAG0001 CAG0002 CAG0003 CAG0004 CAG0005 CAG0006 CAG0007 CAG0009 CAG0010 CAG0012 CAG0013 CAG0014 CAG0015 CAG0016 CAG0017 CAG0018 CAG0020 CAG0021 CAG0022 CAG0024 CAG0025 CAG0027 CAG0028 CAG0029 CAG0032 CAG0033 CAG0034 CAG0035 CAG0036 CAG0037 CAG0038 CAG0040 CAG0044 CAG0045 CAG0046 CAG0050 CAG0051 CAG0052 CAG0053 CAG0055 CAG0056 CAG0057 CAG0059 CAG0065 CAG0068 CAG0069 CAG0070 CAG0076 CAG0078 CAG0080 CAG0081 CAG0083 CAG0085 CAG0086 CAG0090 CAG0095 CAG0097 CAG0101 CAG0105 
K03527	CAG0001 CAG0002 CAG0003 CAG0004 CAG0005 CAG0006 CAG0007 CAG0009 CAG0011 CAG0012 CAG0013 CAG0015 CAG0016 CAG0017 CAG0019 CAG0022 CAG0024 CAG0025 CAG0027 CAG0028 CAG0029 CAG0031 CAG0034 CAG0035 CAG0037 CAG0038 CAG0039 CAG0040 CAG0044 CAG0045 CAG0046 CAG0050 CAG0051 CAG0055 CAG0056 CAG0057 CAG0059 CAG0061 CAG0062 CAG0063 CAG0064 CAG0065 CAG0066 CAG0067 CAG0069 CAG0070 CAG0072 CAG0079 CAG0086 CAG0089 CAG0095 CAG0096 CAG0097 
K09780	CAG0001 CAG0002 CAG0003 CAG0006 CAG0007 CAG0013 CAG0014 CAG0017 CAG0018 CAG0022 CAG0023 CAG0024 CAG0025 CAG0027 CAG0028 CAG0029 CAG0030 CAG0032 CAG0035 CAG0045 CAG0046 CAG0056 CAG0061 CAG0065 CAG0080 CAG0091 CAG0105 
K02051	CAG0001 CAG0002 CAG0003 CAG0004 CAG0005 CAG0006 CAG0007 CAG0008 CAG0009 CAG0011 CAG0012 CAG0013 CAG0014 CAG0015 CAG0017 CAG0018 CAG0019 CAG0021 CAG0022 CAG0023 CAG0025 CAG0030 CAG0032 CAG0033 CAG0037 CAG0038 CAG0040 CAG0044 CAG0045 CAG0050 CAG0052 CAG0055 CAG0058 CAG0061 CAG0062 CAG0067 CAG0068 CAG0070 CAG0081 CAG0086 CAG0097 CAG0101 CAG0102 CAG0103 CAG0107 
